episode,step,action_index,action_label,reward,loss,done,mission_status,battery_pct,attitude_error,fuel_units,last_action_result
2,34,4,restore_load:science_a,-0.400000,0.053987,0,critical,100.000,3.000,0.000,science_a restored
2,35,24,query_attitude,-0.450000,0.077592,0,critical,100.000,4.500,0.000,diag: mode=tumbling err=3.00deg rw=nominal ref=gyro st_bias=0.0 gyro_bias=0.0
2,36,24,query_attitude,-0.450000,0.031208,0,critical,100.000,6.000,0.000,diag: mode=tumbling err=4.50deg rw=nominal ref=gyro st_bias=0.0 gyro_bias=0.0
2,37,26,diagnostic_scan:power,-0.400000,0.070865,0,critical,100.000,7.500,0.000,diag-scan power: bat=100.0% solar=126.0W load=90.0W net=positive pcf=False
2,38,0,shed_load:science_a,-0.600000,0.110402,0,critical,100.000,9.000,0.000,science_a powered off
2,39,19,switch_attitude_reference:sun_sensor,-0.500000,0.129217,0,critical,100.000,10.500,0.000,attitude reference set to sun_sensor
2,40,27,diagnostic_scan:attitude,-0.400000,0.050574,0,critical,100.000,12.000,0.000,diag-scan attitude: mode=tumbling err=10.50deg rw_deg=0.00 st_fault=False ref=sun_sensor
2,41,10,reconfigure_power:solar_a,-0.800000,0.222383,0,critical,100.000,13.500,0.000,solar_a has no active fault to reconfigure
2,42,28,diagnostic_scan:comms,-0.400000,0.040910,0,critical,99.780,15.000,0.000,diag-scan comms: transponder=offline signal=0.0dB comms_fault=False pending_cycle=False
2,43,1,shed_load:science_b,-0.600000,0.089850,0,critical,99.950,16.500,0.000,science_b powered off
2,44,19,switch_attitude_reference:sun_sensor,-0.500000,0.063871,0,critical,99.670,18.000,0.000,attitude reference set to sun_sensor
2,45,1,shed_load:science_b,-0.700000,0.075979,0,critical,98.930,19.500,0.000,science_b already offline
2,46,16,cross_validate_attitude,-0.500000,0.046311,0,critical,98.200,21.000,0.000,diag: ST=19.50deg GY=19.50deg SUN=19.50deg disagree=0.00
2,47,1,shed_load:science_b,-0.700000,0.029421,0,critical,97.470,22.500,0.000,science_b already offline
2,48,13,switch_to_thruster_control,-0.500000,0.124606,0,critical,96.400,24.000,0.000,ACS switched to thruster control
2,49,17,switch_attitude_reference:star_tracker,-0.500000,0.044782,0,critical,95.670,25.500,0.000,attitude reference set to star_tracker
2,50,16,cross_validate_attitude,-5.500000,14.176219,1,lost,94.930,27.000,0.000,diag: ST=25.50deg GY=25.50deg SUN=25.50deg disagree=0.00
3,1,8,switch_to_backup_battery,0.450000,0.413409,0,degraded,100.000,0.000,50.000,switched to backup battery
3,2,14,desaturate_wheels,-0.150000,0.009573,0,degraded,100.000,0.000,50.000,wheels already nominal; desaturation unnecessary
3,3,4,restore_load:science_a,-0.250000,0.002681,0,degraded,100.000,0.000,50.000,science_a already online
3,4,26,diagnostic_scan:power,0.050000,0.020684,0,degraded,100.000,0.000,50.000,diag-scan power: bat=100.0% solar=180.0W load=105.0W net=positive pcf=True
