episode,step,action_index,action_label,reward,loss,done,mission_status,battery_pct,attitude_error,fuel_units,last_action_result
3,12,24,query_attitude,0.000000,0.051766,0,degraded,100.000,0.000,36.500,diag: mode=thruster err=0.00deg rw=nominal ref=gyro st_bias=0.0 gyro_bias=0.0
3,13,23,query_power_level:solar_b,0.000000,0.017583,0,degraded,100.000,0.000,35.000,diag: solar_b output=90.0W health=1.00 (panel nominal)
3,14,27,diagnostic_scan:attitude,0.050000,0.037112,0,degraded,100.000,0.000,33.500,diag-scan attitude: mode=thruster err=0.00deg rw_deg=0.00 st_fault=False ref=gyro
3,15,20,recalibrate_imu,0.000000,0.050239,0,degraded,100.000,0.000,32.000,IMU recalibrated (bias was negligible)
3,16,1,shed_load:science_b,-0.600000,0.000484,0,critical,100.000,0.000,30.500,science_b powered off
3,17,18,switch_attitude_reference:gyro,-0.500000,0.077405,0,critical,100.000,0.000,29.000,attitude reference set to gyro
3,18,29,safe_mode,0.000000,0.103860,0,critical,100.000,0.000,27.500,safe mode engaged; non-essentials shed
3,19,3,shed_load:transponder,-0.700000,0.146687,0,critical,100.000,0.000,26.000,transponder already offline
3,20,30,resume_nominal,-1.000000,0.218071,0,critical,100.000,0.000,24.500,refused: 2 unresolved fault(s) — resolve before resuming nominal
3,21,15,recalibrate_star_tracker,-0.700000,0.121656,0,critical,100.000,0.000,23.000,star tracker nominal; recalibration unnecessary
3,22,9,reset_power_controller,-0.700000,0.214127,0,critical,100.000,0.000,21.500,power controller nominal; reset had no effect
3,23,17,switch_attitude_reference:star_tracker,-0.500000,0.077244,0,critical,100.000,0.000,20.000,attitude reference set to star_tracker
3,24,26,diagnostic_scan:power,-0.400000,0.031335,0,critical,100.000,0.000,18.500,diag-scan power: bat=100.0% solar=180.0W load=50.0W net=positive pcf=False
3,25,5,restore_load:science_b,-0.400000,0.030436,0,critical,100.000,0.000,17.000,science_b restored
3,26,2,shed_load:heaters,-0.700000,0.178867,0,critical,100.000,0.000,15.500,heaters already offline
3,27,28,diagnostic_scan:comms,-0.400000,0.026752,0,critical,100.000,0.000,14.000,diag-scan comms: transponder=offline signal=0.0dB comms_fault=True pending_cycle=False
3,28,3,shed_load:transponder,-0.700000,0.066262,0,critical,100.000,0.000,12.500,transponder already offline
3,29,2,shed_load:heaters,-0.700000,0.070959,0,critical,100.000,0.000,11.000,heaters already offline
3,30,16,cross_validate_attitude,-0.500000,0.047889,0,critical,100.000,0.000,9.500,diag: ST=0.00deg GY=0.00deg SUN=0.00deg disagree=0.00
3,31,14,desaturate_wheels,-0.600000,0.086121,0,critical,100.000,0.000,8.000,wheels already nominal; desaturation unnecessary
3,32,21,query_power_level:battery,-0.450000,0.071633,0,critical,100.000,0.000,6.500,diag: battery_pct=100.0% health=0.48 backup=True pcf=False
3,33,8,switch_to_backup_battery,-0.800000,0.249883,0,critical,100.000,0.000,5.000,already on backup battery
3,34,26,diagnostic_scan:power,-0.400000,0.012584,0,critical,100.000,0.000,3.500,diag-scan power: bat=100.0% solar=180.0W load=75.0W net=positive pcf=False
3,35,9,reset_power_controller,-0.700000,0.116092,0,critical,100.000,0.000,2.000,power controller nominal; reset had no effect
3,36,13,switch_to_thruster_control,-0.700000,0.115746,0,critical,100.000,0.000,0.500,already in thruster mode
3,37,1,shed_load:science_b,-0.600000,0.000012,0,critical,100.000,1.500,0.000,science_b powered off
